ISO,region,Country
AFG,Southern Asia,Afghanistan
ALB,"Northern, Southern and Western Europe",Albania
DZA,Northern Africa,Algeria
ASM,South-Eastern Asia and the Pacific,American Samoa
AND,"Northern, Southern and Western Europe",Andorra
AGO,Sub-Saharan Africa,Angola
AIA,Latin America and the Caribbean,Anguilla
ATG,Latin America and the Caribbean,Antigua and Barbuda
ARG,Latin America and the Caribbean,Argentina
ARM,Central and Western Asia,Armenia
ABW,Latin America and the Caribbean,Aruba
AUS,South-Eastern Asia and the Pacific,Australia
AUT,"Northern, Southern and Western Europe",Austria
AZE,Central and Western Asia,Azerbaijan
BHS,Latin America and the Caribbean,Bahamas
BHR,Arab States,Bahrain
BGD,Southern Asia,Bangladesh
BRB,Latin America and the Caribbean,Barbados
BLR,Eastern Europe,Belarus
BEL,"Northern, Southern and Western Europe",Belgium
BLZ,Latin America and the Caribbean,Belize
BEN,Sub-Saharan Africa,Benin
BMU,Northern America,Bermuda
BTN,Southern Asia,Bhutan
BOL,Latin America and the Caribbean,Bolivia
BIH,"Northern, Southern and Western Europe",Bosnia and Herzegovina
BWA,Sub-Saharan Africa,Botswana
BRA,Latin America and the Caribbean,Brazil
VGB,Latin America and the Caribbean,British Virgin Islands
BRN,South-Eastern Asia and the Pacific,Brunei Darussalam
BGR,Eastern Europe,Bulgaria
BFA,Sub-Saharan Africa,Burkina Faso
BDI,Sub-Saharan Africa,Burundi
KHM,South-Eastern Asia and the Pacific,Cambodia
CMR,Sub-Saharan Africa,Cameroon
CAN,Northern America,Canada
CPV,Sub-Saharan Africa,Cape Verde
CYM,Latin America and the Caribbean,Cayman Islands
CAF,Sub-Saharan Africa,Central African Republic
TCD,Sub-Saharan Africa,Chad
CHA,"Northern, Southern and Western Europe",Channel Islands
CHL,Latin America and the Caribbean,Chile
CHN,Eastern Asia,China
COL,Latin America and the Caribbean,Colombia
COM,Sub-Saharan Africa,Comoros
COG,Sub-Saharan Africa,Congo
COD,Sub-Saharan Africa,"Congo, Democratic Republic of the"
COK,South-Eastern Asia and the Pacific,Cook Islands
CRI,Latin America and the Caribbean,Costa Rica
HRV,"Northern, Southern and Western Europe",Croatia
CUB,Latin America and the Caribbean,Cuba
CUW,Latin America and the Caribbean,Cura?ao
CYP,Central and Western Asia,Cyprus
CZE,Eastern Europe,Czechia
CIV,Sub-Saharan Africa,C?te d'Ivoire
DNK,"Northern, Southern and Western Europe",Denmark
DJI,Sub-Saharan Africa,Djibouti
DMA,Latin America and the Caribbean,Dominica
DOM,Latin America and the Caribbean,Dominican Republic
ECU,Latin America and the Caribbean,Ecuador
EGY,Northern Africa,Egypt
SLV,Latin America and the Caribbean,El Salvador
GNQ,Sub-Saharan Africa,Equatorial Guinea
ERI,Sub-Saharan Africa,Eritrea
EST,"Northern, Southern and Western Europe",Estonia
ETH,Sub-Saharan Africa,Ethiopia
FRO,"Northern, Southern and Western Europe",Faeroe Islands
FLK,Latin America and the Caribbean,Falkland Islands (Malvinas)
FJI,South-Eastern Asia and the Pacific,Fiji
FIN,"Northern, Southern and Western Europe",Finland
FRA,"Northern, Southern and Western Europe",France
GUF,Latin America and the Caribbean,French Guiana
PYF,South-Eastern Asia and the Pacific,French Polynesia
GAB,Sub-Saharan Africa,Gabon
GMB,Sub-Saharan Africa,Gambia
GEO,Central and Western Asia,Georgia
DEU,"Northern, Southern and Western Europe",Germany
GHA,Sub-Saharan Africa,Ghana
GIB,"Northern, Southern and Western Europe",Gibraltar
GRC,"Northern, Southern and Western Europe",Greece
GRL,Northern America,Greenland
GRD,Latin America and the Caribbean,Grenada
GLP,Latin America and the Caribbean,Guadeloupe
GUM,South-Eastern Asia and the Pacific,Guam
GTM,Latin America and the Caribbean,Guatemala
GGY,"Northern, Southern and Western Europe",Guernsey
GIN,Sub-Saharan Africa,Guinea
GNB,Sub-Saharan Africa,Guinea-Bissau
GUY,Latin America and the Caribbean,Guyana
HTI,Latin America and the Caribbean,Haiti
HND,Latin America and the Caribbean,Honduras
HKG,Eastern Asia,"Hong Kong, China"
HUN,Eastern Europe,Hungary
ISL,"Northern, Southern and Western Europe",Iceland
IND,Southern Asia,India
IDN,South-Eastern Asia and the Pacific,Indonesia
IRN,Southern Asia,"Iran, Islamic Republic of"
IRQ,Arab States,Iraq
IRL,"Northern, Southern and Western Europe",Ireland
IMN,"Northern, Southern and Western Europe",Isle of Man
ISR,Central and Western Asia,Israel
ITA,"Northern, Southern and Western Europe",Italy
JAM,Latin America and the Caribbean,Jamaica
JPN,Eastern Asia,Japan
JEY,"Northern, Southern and Western Europe",Jersey
JOR,Arab States,Jordan
KAZ,Central and Western Asia,Kazakhstan
KEN,Sub-Saharan Africa,Kenya
KIR,South-Eastern Asia and the Pacific,Kiribati
PRK,Eastern Asia,"Korea, Democratic People's Republic of"
KOR,Eastern Asia,"Korea, Republic of"
KOS,"Northern, Southern and Western Europe",Kosovo
KWT,Arab States,Kuwait
KGZ,Central and Western Asia,Kyrgyzstan
LAO,South-Eastern Asia and the Pacific,Lao People's Democratic Republic
LVA,"Northern, Southern and Western Europe",Latvia
LBN,Arab States,Lebanon
LSO,Sub-Saharan Africa,Lesotho
LBR,Sub-Saharan Africa,Liberia
LBY,Northern Africa,Libya
LIE,"Northern, Southern and Western Europe",Liechtenstein
LTU,"Northern, Southern and Western Europe",Lithuania
LUX,"Northern, Southern and Western Europe",Luxembourg
MAC,Eastern Asia,"Macau, China"
MKD,"Northern, Southern and Western Europe","Macedonia, the former Yugoslav Republic of"
MDG,Sub-Saharan Africa,Madagascar
MWI,Sub-Saharan Africa,Malawi
MYS,South-Eastern Asia and the Pacific,Malaysia
MDV,Southern Asia,Maldives
MLI,Sub-Saharan Africa,Mali
MLT,"Northern, Southern and Western Europe",Malta
MHL,South-Eastern Asia and the Pacific,Marshall Islands
MTQ,Latin America and the Caribbean,Martinique
MRT,Sub-Saharan Africa,Mauritania
MUS,Sub-Saharan Africa,Mauritius
MYT,Sub-Saharan Africa,Mayotte
MEX,Latin America and the Caribbean,Mexico
FSM,South-Eastern Asia and the Pacific,"Micronesia, Federated States of"
MDA,Eastern Europe,"Moldova, Republic of"
MCO,"Northern, Southern and Western Europe",Monaco
MNG,Eastern Asia,Mongolia
MNE,"Northern, Southern and Western Europe",Montenegro
MSR,Latin America and the Caribbean,Montserrat
MAR,Northern Africa,Morocco
MOZ,Sub-Saharan Africa,Mozambique
MMR,South-Eastern Asia and the Pacific,Myanmar
NAM,Sub-Saharan Africa,Namibia
NRU,South-Eastern Asia and the Pacific,Nauru
NPL,Southern Asia,Nepal
NLD,"Northern, Southern and Western Europe",Netherlands
ANT,Latin America and the Caribbean,Netherlands Antilles
NCL,South-Eastern Asia and the Pacific,New Caledonia
NZL,South-Eastern Asia and the Pacific,New Zealand
NIC,Latin America and the Caribbean,Nicaragua
NER,Sub-Saharan Africa,Niger
NGA,Sub-Saharan Africa,Nigeria
NIU,South-Eastern Asia and the Pacific,Niue
NFK,South-Eastern Asia and the Pacific,Norfolk Island
MNP,South-Eastern Asia and the Pacific,Northern Mariana Islands
NOR,"Northern, Southern and Western Europe",Norway
PSE,Arab States,Occupied Palestinian Territory
OMN,Arab States,Oman
PAK,Southern Asia,Pakistan
PLW,South-Eastern Asia and the Pacific,Palau
PAN,Latin America and the Caribbean,Panama
PNG,South-Eastern Asia and the Pacific,Papua New Guinea
PRY,Latin America and the Caribbean,Paraguay
PER,Latin America and the Caribbean,Peru
PHL,South-Eastern Asia and the Pacific,Philippines
POL,Eastern Europe,Poland
PRT,"Northern, Southern and Western Europe",Portugal
PRI,Latin America and the Caribbean,Puerto Rico
QAT,Arab States,Qatar
ROU,Eastern Europe,Romania
RUS,Eastern Europe,Russian Federation
RWA,Sub-Saharan Africa,Rwanda
REU,Sub-Saharan Africa,R?union
SHN,Sub-Saharan Africa,Saint Helena
KNA,Latin America and the Caribbean,Saint Kitts and Nevis
LCA,Latin America and the Caribbean,Saint Lucia
MAF,Latin America and the Caribbean,Saint Martin (French part)
SPM,Northern America,Saint Pierre and Miquelon
VCT,Latin America and the Caribbean,Saint Vincent and the Grenadines
WSM,South-Eastern Asia and the Pacific,Samoa
SMR,"Northern, Southern and Western Europe",San Marino
STP,Sub-Saharan Africa,Sao Tome and Principe
SAU,Arab States,Saudi Arabia
SEN,Sub-Saharan Africa,Senegal
SRB,"Northern, Southern and Western Europe",Serbia
SYC,Sub-Saharan Africa,Seychelles
SLE,Sub-Saharan Africa,Sierra Leone
SGP,South-Eastern Asia and the Pacific,Singapore
SXM,Latin America and the Caribbean,Sint Maarten (Kingdom of the Netherlands)
